ward_number,municipality,district,province
10,Indrawati Rural Municipality,Sindhupalchok,Bagmati
11,Indrawati Rural Municipality,Sindhupalchok,Bagmati
12,Indrawati Rural Municipality,Sindhupalchok,Bagmati
1,Jugal Rural Municipality,Sindhupalchok,Bagmati
2,Jugal Rural Municipality,Sindhupalchok,Bagmati
3,Jugal Rural Municipality,Sindhupalchok,Bagmati
4,Jugal Rural Municipality,Sindhupalchok,Bagmati
5,Jugal Rural Municipality,Sindhupalchok,Bagmati
6,Jugal Rural Municipality,Sindhupalchok,Bagmati
7,Jugal Rural Municipality,Sindhupalchok,Bagmati
1,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
2,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
3,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
4,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
5,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
6,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
7,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
8,Panchpokhari Rural Municipality,Sindhupalchok,Bagmati
1,Bhotekoshi Rural Municipality,Sindhupalchok,Bagmati
2,Bhotekoshi Rural Municipality,Sindhupalchok,Bagmati
3,Bhotekoshi Rural Municipality,Sindhupalchok,Bagmati
4,Bhotekoshi Rural Municipality,Sindhupalchok,Bagmati
5,Bhotekoshi Rural Municipality,Sindhupalchok,Bagmati
1,Lisankhu Rural Municipality,Sindhupalchok,Bagmati
2,Lisankhu Rural Municipality,Sindhupalchok,Bagmati
3,Lisankhu Rural Municipality,Sindhupalchok,Bagmati
4,Lisankhu Rural Municipality,Sindhupalchok,Bagmati
5,Lisankhu Rural Municipality,Sindhupalchok,Bagmati
6,Lisankhu Rural Municipality,Sindhupalchok,Bagmati
7,Lisankhu Rural Municipality,Sindhupalchok,Bagmati
1,Helambu Rural Municipality,Sindhupalchok,Bagmati
2,Helambu Rural Municipality,Sindhupalchok,Bagmati
3,Helambu Rural Municipality,Sindhupalchok,Bagmati
4,Helambu Rural Municipality,Sindhupalchok,Bagmati
5,Helambu Rural Municipality,Sindhupalchok,Bagmati
6,Helambu Rural Municipality,Sindhupalchok,Bagmati
7,Helambu Rural Municipality,Sindhupalchok,Bagmati
1,Tripurasundari Rural Municipality,Sindhupalchok,Bagmati
2,Tripurasundari Rural Municipality,Sindhupalchok,Bagmati
3,Tripurasundari Rural Municipality,Sindhupalchok,Bagmati
4,Tripurasundari Rural Municipality,Sindhupalchok,Bagmati
5,Tripurasundari Rural Municipality,Sindhupalchok,Bagmati
6,Tripurasundari Rural Municipality,Sindhupalchok,Bagmati
1,Baglung Municipality,Baglung,Gandaki
2,Baglung Municipality,Baglung,Gandaki
3,Baglung Municipality,Baglung,Gandaki
4,Baglung Municipality,Baglung,Gandaki
5,Baglung Municipality,Baglung,Gandaki
6,Baglung Municipality,Baglung,Gandaki
7,Baglung Municipality,Baglung,Gandaki
8,Baglung Municipality,Baglung,Gandaki
9,Baglung Municipality,Baglung,Gandaki
10,Baglung Municipality,Baglung,Gandaki
11,Baglung Municipality,Baglung,Gandaki
12,Baglung Municipality,Baglung,Gandaki
13,Baglung Municipality,Baglung,Gandaki
14,Baglung Municipality,Baglung,Gandaki
1,Dhorpatan Municipality,Baglung,Gandaki
2,Dhorpatan Municipality,Baglung,Gandaki
3,Dhorpatan Municipality,Baglung,Gandaki
4,Dhorpatan Municipality,Baglung,Gandaki
5,Dhorpatan Municipality,Baglung,Gandaki
6,Dhorpatan Municipality,Baglung,Gandaki
7,Dhorpatan Municipality,Baglung,Gandaki
8,Dhorpatan Municipality,Baglung,Gandaki
9,Dhorpatan Municipality,Baglung,Gandaki
1,Galkot Municipality,Baglung,Gandaki
2,Galkot Municipality,Baglung,Gandaki
3,Galkot Municipality,Baglung,Gandaki
4,Galkot Municipality,Baglung,Gandaki
5,Galkot Municipality,Baglung,Gandaki
6,Galkot Municipality,Baglung,Gandaki
7,Galkot Municipality,Baglung,Gandaki
8,Galkot Municipality,Baglung,Gandaki
9,Galkot Municipality,Baglung,Gandaki
10,Galkot Municipality,Baglung,Gandaki
11,Galkot Municipality,Baglung,Gandaki
1,Jaimuni Municipality,Baglung,Gandaki
2,Jaimuni Municipality,Baglung,Gandaki
3,Jaimuni Municipality,Baglung,Gandaki
4,Jaimuni Municipality,Baglung,Gandaki
5,Jaimuni Municipality,Baglung,Gandaki
6,Jaimuni Municipality,Baglung,Gandaki
7,Jaimuni Municipality,Baglung,Gandaki
8,Jaimuni Municipality,Baglung,Gandaki
9,Jaimuni Municipality,Baglung,Gandaki
10,Jaimuni Municipality,Baglung,Gandaki
1,Bareng Rural Municipality,Baglung,Gandaki
2,Bareng Rural Municipality,Baglung,Gandaki
3,Bareng Rural Municipality,Baglung,Gandaki
4,Bareng Rural Municipality,Baglung,Gandaki
5,Bareng Rural Municipality,Baglung,Gandaki
1,Khathekhola Rural Municipality,Baglung,Gandaki
2,Khathekhola Rural Municipality,Baglung,Gandaki
3,Khathekhola Rural Municipality,Baglung,Gandaki
4,Khathekhola Rural Municipality,Baglung,Gandaki
5,Khathekhola Rural Municipality,Baglung,Gandaki
6,Khathekhola Rural Municipality,Baglung,Gandaki
7,Khathekhola Rural Municipality,Baglung,Gandaki
8,Khathekhola Rural Municipality,Baglung,Gandaki
1,Taman Khola Rural Municipality,Baglung,Gandaki
2,Taman Khola Rural Municipality,Baglung,Gandaki
3,Taman Khola Rural Municipality,Baglung,Gandaki
4,Taman Khola Rural Municipality,Baglung,Gandaki
5,Taman Khola Rural Municipality,Baglung,Gandaki
6,Taman Khola Rural Municipality,Baglung,Gandaki
1,Tara Khola Rural Municipality,Baglung,Gandaki
2,Tara Khola Rural Municipality,Baglung,Gandaki
3,Tara Khola Rural Municipality,Baglung,Gandaki
4,Tara Khola Rural Municipality,Baglung,Gandaki
5,Tara Khola Rural Municipality,Baglung,Gandaki
1,Nishi Khola Rural Municipality,Baglung,Gandaki
2,Nishi Khola Rural Municipality,Baglung,Gandaki
3,Nishi Khola Rural Municipality,Baglung,Gandaki
4,Nishi Khola Rural Municipality,Baglung,Gandaki
5,Nishi Khola Rural Municipality,Baglung,Gandaki
6,Nishi Khola Rural Municipality,Baglung,Gandaki
7,Nishi Khola Rural Municipality,Baglung,Gandaki
1,Badigad Rural Municipality,Baglung,Gandaki
2,Badigad Rural Municipality,Baglung,Gandaki
3,Badigad Rural Municipality,Baglung,Gandaki
4,Badigad Rural Municipality,Baglung,Gandaki
5,Badigad Rural Municipality,Baglung,Gandaki
6,Badigad Rural Municipality,Baglung,Gandaki
7,Badigad Rural Municipality,Baglung,Gandaki
8,Badigad Rural Municipality,Baglung,Gandaki
9,Badigad Rural Municipality,Baglung,Gandaki
10,Badigad Rural Municipality,Baglung,Gandaki
1,Gorkha Municipality,Gorkha,Gandaki
2,Gorkha Municipality,Gorkha,Gandaki
3,Gorkha Municipality,Gorkha,Gandaki
4,Gorkha Municipality,Gorkha,Gandaki
5,Gorkha Municipality,Gorkha,Gandaki
6,Gorkha Municipality,Gorkha,Gandaki
7,Gorkha Municipality,Gorkha,Gandaki
8,Gorkha Municipality,Gorkha,Gandaki
9,Gorkha Municipality,Gorkha,Gandaki
10,Gorkha Municipality,Gorkha,Gandaki
11,Gorkha Municipality,Gorkha,Gandaki
12,Gorkha Municipality,Gorkha,Gandaki
13,Gorkha Municipality,Gorkha,Gandaki
14,Gorkha Municipality,Gorkha,Gandaki
1,Palungtar Municipality,Gorkha,Gandaki
2,Palungtar Municipality,Gorkha,Gandaki
3,Palungtar Municipality,Gorkha,Gandaki
4,Palungtar Municipality,Gorkha,Gandaki
5,Palungtar Municipality,Gorkha,Gandaki
6,Palungtar Municipality,Gorkha,Gandaki
7,Palungtar Municipality,Gorkha,Gandaki
8,Palungtar Municipality,Gorkha,Gandaki
9,Palungtar Municipality,Gorkha,Gandaki
10,Palungtar Municipality,Gorkha,Gandaki
1,Sulikot Rural Municipality,Gorkha,Gandaki
2,Sulikot Rural Municipality,Gorkha,Gandaki
3,Sulikot Rural Municipality,Gorkha,Gandaki
4,Sulikot Rural Municipality,Gorkha,Gandaki
5,Sulikot Rural Municipality,Gorkha,Gandaki
6,Sulikot Rural Municipality,Gorkha,Gandaki
7,Sulikot Rural Municipality,Gorkha,Gandaki
8,Sulikot Rural Municipality,Gorkha,Gandaki
1,Siranchowk Rural Municipality,Gorkha,Gandaki
2,Siranchowk Rural Municipality,Gorkha,Gandaki
3,Siranchowk Rural Municipality,Gorkha,Gandaki
4,Siranchowk Rural Municipality,Gorkha,Gandaki
5,Siranchowk Rural Municipality,Gorkha,Gandaki
6,Siranchowk Rural Municipality,Gorkha,Gandaki
7,Siranchowk Rural Municipality,Gorkha,Gandaki
8,Siranchowk Rural Municipality,Gorkha,Gandaki
1,Ajirkot Rural Municipality,Gorkha,Gandaki
2,Ajirkot Rural Municipality,Gorkha,Gandaki
3,Ajirkot Rural Municipality,Gorkha,Gandaki
4,Ajirkot Rural Municipality,Gorkha,Gandaki
5,Ajirkot Rural Municipality,Gorkha,Gandaki
1,Chumnubri Rural Municipality,Gorkha,Gandaki
2,Chumnubri Rural Municipality,Gorkha,Gandaki
3,Chumnubri Rural Municipality,Gorkha,Gandaki
4,Chumnubri Rural Municipality,Gorkha,Gandaki
5,Chumnubri Rural Municipality,Gorkha,Gandaki
6,Chumnubri Rural Municipality,Gorkha,Gandaki
7,Chumnubri Rural Municipality,Gorkha,Gandaki
1,Dharche Rural Municipality,Gorkha,Gandaki
2,Dharche Rural Municipality,Gorkha,Gandaki
3,Dharche Rural Municipality,Gorkha,Gandaki
4,Dharche Rural Municipality,Gorkha,Gandaki
5,Dharche Rural Municipality,Gorkha,Gandaki
6,Dharche Rural Municipality,Gorkha,Gandaki
7,Dharche Rural Municipality,Gorkha,Gandaki
1,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
2,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
3,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
4,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
5,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
6,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
7,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
8,Bhimsen Thapa Rural Municipality,Gorkha,Gandaki
1,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
2,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
3,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
4,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
5,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
6,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
7,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
8,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
9,Sahid Lakhan Rural Municipality,Gorkha,Gandaki
1,Aarughat Rural Municipality,Gorkha,Gandaki
2,Aarughat Rural Municipality,Gorkha,Gandaki
3,Aarughat Rural Municipality,Gorkha,Gandaki
4,Aarughat Rural Municipality,Gorkha,Gandaki
5,Aarughat Rural Municipality,Gorkha,Gandaki
6,Aarughat Rural Municipality,Gorkha,Gandaki
7,Aarughat Rural Municipality,Gorkha,Gandaki
8,Aarughat Rural Municipality,Gorkha,Gandaki
9,Aarughat Rural Municipality,Gorkha,Gandaki
10,Aarughat Rural Municipality,Gorkha,Gandaki
1,Gandaki Rural Municipality,Gorkha,Gandaki
2,Gandaki Rural Municipality,Gorkha,Gandaki
3,Gandaki Rural Municipality,Gorkha,Gandaki
4,Gandaki Rural Municipality,Gorkha,Gandaki
5,Gandaki Rural Municipality,Gorkha,Gandaki
6,Gandaki Rural Municipality,Gorkha,Gandaki
7,Gandaki Rural Municipality,Gorkha,Gandaki
8,Gandaki Rural Municipality,Gorkha,Gandaki
1,Pokhara Metropolitan City,Kaski,Gandaki
2,Pokhara Metropolitan City,Kaski,Gandaki
3,Pokhara Metropolitan City,Kaski,Gandaki
4,Pokhara Metropolitan City,Kaski,Gandaki
5,Pokhara Metropolitan City,Kaski,Gandaki
6,Pokhara Metropolitan City,Kaski,Gandaki
7,Pokhara Metropolitan City,Kaski,Gandaki
8,Pokhara Metropolitan City,Kaski,Gandaki
9,Pokhara Metropolitan City,Kaski,Gandaki
10,Pokhara Metropolitan City,Kaski,Gandaki
11,Pokhara Metropolitan City,Kaski,Gandaki
12,Pokhara Metropolitan City,Kaski,Gandaki
13,Pokhara Metropolitan City,Kaski,Gandaki
14,Pokhara Metropolitan City,Kaski,Gandaki
15,Pokhara Metropolitan City,Kaski,Gandaki
16,Pokhara Metropolitan City,Kaski,Gandaki
17,Pokhara Metropolitan City,Kaski,Gandaki
18,Pokhara Metropolitan City,Kaski,Gandaki
19,Pokhara Metropolitan City,Kaski,Gandaki
20,Pokhara Metropolitan City,Kaski,Gandaki
21,Pokhara Metropolitan City,Kaski,Gandaki
22,Pokhara Metropolitan City,Kaski,Gandaki
23,Pokhara Metropolitan City,Kaski,Gandaki
24,Pokhara Metropolitan City,Kaski,Gandaki
25,Pokhara Metropolitan City,Kaski,Gandaki
26,Pokhara Metropolitan City,Kaski,Gandaki
27,Pokhara Metropolitan City,Kaski,Gandaki
28,Pokhara Metropolitan City,Kaski,Gandaki
29,Pokhara Metropolitan City,Kaski,Gandaki
30,Pokhara Metropolitan City,Kaski,Gandaki
31,Pokhara Metropolitan City,Kaski,Gandaki
32,Pokhara Metropolitan City,Kaski,Gandaki
33,Pokhara Metropolitan City,Kaski,Gandaki
1,Annapurna Rural Municipality,Kaski,Gandaki
2,Annapurna Rural Municipality,Kaski,Gandaki
3,Annapurna Rural Municipality,Kaski,Gandaki
4,Annapurna Rural Municipality,Kaski,Gandaki
5,Annapurna Rural Municipality,Kaski,Gandaki
6,Annapurna Rural Municipality,Kaski,Gandaki
7,Annapurna Rural Municipality,Kaski,Gandaki
8,Annapurna Rural Municipality,Kaski,Gandaki
9,Annapurna Rural Municipality,Kaski,Gandaki
10,Annapurna Rural Municipality,Kaski,Gandaki
11,Annapurna Rural Municipality,Kaski,Gandaki
1,Machhapuchchhre Rural Municipality,Kaski,Gandaki
2,Machhapuchchhre Rural Municipality,Kaski,Gandaki
3,Machhapuchchhre Rural Municipality,Kaski,Gandaki
4,Machhapuchchhre Rural Municipality,Kaski,Gandaki
5,Machhapuchchhre Rural Municipality,Kaski,Gandaki
6,Machhapuchchhre Rural Municipality,Kaski,Gandaki
7,Machhapuchchhre Rural Municipality,Kaski,Gandaki
8,Machhapuchchhre Rural Municipality,Kaski,Gandaki
9,Machhapuchchhre Rural Municipality,Kaski,Gandaki
1,Madi Rural Municipality,Kaski,Gandaki
2,Madi Rural Municipality,Kaski,Gandaki
3,Madi Rural Municipality,Kaski,Gandaki
4,Madi Rural Municipality,Kaski,Gandaki
5,Madi Rural Municipality,Kaski,Gandaki
6,Madi Rural Municipality,Kaski,Gandaki
7,Madi Rural Municipality,Kaski,Gandaki
8,Madi Rural Municipality,Kaski,Gandaki
9,Madi Rural Municipality,Kaski,Gandaki
10,Madi Rural Municipality,Kaski,Gandaki
11,Madi Rural Municipality,Kaski,Gandaki
12,Madi Rural Municipality,Kaski,Gandaki
1,Rupa Rural Municipality,Kaski,Gandaki
2,Rupa Rural Municipality,Kaski,Gandaki
3,Rupa Rural Municipality,Kaski,Gandaki
4,Rupa Rural Municipality,Kaski,Gandaki
5,Rupa Rural Municipality,Kaski,Gandaki
6,Rupa Rural Municipality,Kaski,Gandaki
7,Rupa Rural Municipality,Kaski,Gandaki
1,Besisahar Municipality,Lamjung,Gandaki
2,Besisahar Municipality,Lamjung,Gandaki
3,Besisahar Municipality,Lamjung,Gandaki
4,Besisahar Municipality,Lamjung,Gandaki
5,Besisahar Municipality,Lamjung,Gandaki
6,Besisahar Municipality,Lamjung,Gandaki
7,Besisahar Municipality,Lamjung,Gandaki
8,Besisahar Municipality,Lamjung,Gandaki
9,Besisahar Municipality,Lamjung,Gandaki
10,Besisahar Municipality,Lamjung,Gandaki
11,Besisahar Municipality,Lamjung,Gandaki
1,Madhya Nepal Municipality,Lamjung,Gandaki
2,Madhya Nepal Municipality,Lamjung,Gandaki
3,Madhya Nepal Municipality,Lamjung,Gandaki
4,Madhya Nepal Municipality,Lamjung,Gandaki
5,Madhya Nepal Municipality,Lamjung,Gandaki
6,Madhya Nepal Municipality,Lamjung,Gandaki
7,Madhya Nepal Municipality,Lamjung,Gandaki
8,Madhya Nepal Municipality,Lamjung,Gandaki
9,Madhya Nepal Municipality,Lamjung,Gandaki
10,Madhya Nepal Municipality,Lamjung,Gandaki
1,Rainas Municipality,Lamjung,Gandaki
2,Rainas Municipality,Lamjung,Gandaki
3,Rainas Municipality,Lamjung,Gandaki
4,Rainas Municipality,Lamjung,Gandaki
5,Rainas Municipality,Lamjung,Gandaki
6,Rainas Municipality,Lamjung,Gandaki
7,Rainas Municipality,Lamjung,Gandaki
8,Rainas Municipality,Lamjung,Gandaki
9,Rainas Municipality,Lamjung,Gandaki
10,Rainas Municipality,Lamjung,Gandaki
1,Sundarbazar Municipality,Lamjung,Gandaki
2,Sundarbazar Municipality,Lamjung,Gandaki
3,Sundarbazar Municipality,Lamjung,Gandaki
4,Sundarbazar Municipality,Lamjung,Gandaki
5,Sundarbazar Municipality,Lamjung,Gandaki
6,Sundarbazar Municipality,Lamjung,Gandaki
7,Sundarbazar Municipality,Lamjung,Gandaki
8,Sundarbazar Municipality,Lamjung,Gandaki
9,Sundarbazar Municipality,Lamjung,Gandaki
10,Sundarbazar Municipality,Lamjung,Gandaki
11,Sundarbazar Municipality,Lamjung,Gandaki
1,Dordi Rural Municipality,Lamjung,Gandaki
2,Dordi Rural Municipality,Lamjung,Gandaki
3,Dordi Rural Municipality,Lamjung,Gandaki
4,Dordi Rural Municipality,Lamjung,Gandaki
5,Dordi Rural Municipality,Lamjung,Gandaki
6,Dordi Rural Municipality,Lamjung,Gandaki
7,Dordi Rural Municipality,Lamjung,Gandaki
8,Dordi Rural Municipality,Lamjung,Gandaki
9,Dordi Rural Municipality,Lamjung,Gandaki
1,Dudhpokhari Rural Municipality,Lamjung,Gandaki
2,Dudhpokhari Rural Municipality,Lamjung,Gandaki
3,Dudhpokhari Rural Municipality,Lamjung,Gandaki
4,Dudhpokhari Rural Municipality,Lamjung,Gandaki
5,Dudhpokhari Rural Municipality,Lamjung,Gandaki
6,Dudhpokhari Rural Municipality,Lamjung,Gandaki
1,Kwhlosothar Rural Municipality,Lamjung,Gandaki
2,Kwhlosothar Rural Municipality,Lamjung,Gandaki
3,Kwhlosothar Rural Municipality,Lamjung,Gandaki
4,Kwhlosothar Rural Municipality,Lamjung,Gandaki
5,Kwhlosothar Rural Municipality,Lamjung,Gandaki
6,Kwhlosothar Rural Municipality,Lamjung,Gandaki
7,Kwhlosothar Rural Municipality,Lamjung,Gandaki
8,Kwhlosothar Rural Municipality,Lamjung,Gandaki
9,Kwhlosothar Rural Municipality,Lamjung,Gandaki
1,Marsyangdi Rural Municipality,Lamjung,Gandaki
2,Marsyangdi Rural Municipality,Lamjung,Gandaki
3,Marsyangdi Rural Municipality,Lamjung,Gandaki
4,Marsyangdi Rural Municipality,Lamjung,Gandaki
5,Marsyangdi Rural Municipality,Lamjung,Gandaki
6,Marsyangdi Rural Municipality,Lamjung,Gandaki
7,Marsyangdi Rural Municipality,Lamjung,Gandaki
8,Marsyangdi Rural Municipality,Lamjung,Gandaki
9,Marsyangdi Rural Municipality,Lamjung,Gandaki
1,Chame Rural Municipality,Manang,Gandaki
2,Chame Rural Municipality,Manang,Gandaki
3,Chame Rural Municipality,Manang,Gandaki
4,Chame Rural Municipality,Manang,Gandaki
5,Chame Rural Municipality,Manang,Gandaki
1,Nason Rural Municipality,Manang,Gandaki
2,Nason Rural Municipality,Manang,Gandaki
3,Nason Rural Municipality,Manang,Gandaki
4,Nason Rural Municipality,Manang,Gandaki
5,Nason Rural Municipality,Manang,Gandaki
6,Nason Rural Municipality,Manang,Gandaki
7,Nason Rural Municipality,Manang,Gandaki
8,Nason Rural Municipality,Manang,Gandaki
9,Nason Rural Municipality,Manang,Gandaki
1,NarpaBhumi Rural Municipality,Manang,Gandaki
2,NarpaBhumi Rural Municipality,Manang,Gandaki
3,NarpaBhumi Rural Municipality,Manang,Gandaki
4,NarpaBhumi Rural Municipality,Manang,Gandaki
5,NarpaBhumi Rural Municipality,Manang,Gandaki
1,Manang Ngisyang Rural Municipality,Manang,Gandaki
2,Manang Ngisyang Rural Municipality,Manang,Gandaki
3,Manang Ngisyang Rural Municipality,Manang,Gandaki
4,Manang Ngisyang Rural Municipality,Manang,Gandaki
5,Manang Ngisyang Rural Municipality,Manang,Gandaki
6,Manang Ngisyang Rural Municipality,Manang,Gandaki
7,Manang Ngisyang Rural Municipality,Manang,Gandaki
8,Manang Ngisyang Rural Municipality,Manang,Gandaki
9,Manang Ngisyang Rural Municipality,Manang,Gandaki
1,Gharpajhong Rural Municipality,Mustang,Gandaki
2,Gharpajhong Rural Municipality,Mustang,Gandaki
3,Gharpajhong Rural Municipality,Mustang,Gandaki
4,Gharpajhong Rural Municipality,Mustang,Gandaki
5,Gharpajhong Rural Municipality,Mustang,Gandaki
1,Thasang Rural Municipality,Mustang,Gandaki
2,Thasang Rural Municipality,Mustang,Gandaki
3,Thasang Rural Municipality,Mustang,Gandaki
4,Thasang Rural Municipality,Mustang,Gandaki
5,Thasang Rural Municipality,Mustang,Gandaki
1,Barhagaun Muktichhetra Rural Municipality,Mustang,Gandaki
2,Barhagaun Muktichhetra Rural Municipality,Mustang,Gandaki
3,Barhagaun Muktichhetra Rural Municipality,Mustang,Gandaki
4,Barhagaun Muktichhetra Rural Municipality,Mustang,Gandaki
5,Barhagaun Muktichhetra Rural Municipality,Mustang,Gandaki
1,Lomanthang Rural Municipality,Mustang,Gandaki
2,Lomanthang Rural Municipality,Mustang,Gandaki
3,Lomanthang Rural Municipality,Mustang,Gandaki
4,Lomanthang Rural Municipality,Mustang,Gandaki
5,Lomanthang Rural Municipality,Mustang,Gandaki
1,Lo-Ghekar Damodarkunda Rural Municipality,Mustang,Gandaki
2,Lo-Ghekar Damodarkunda Rural Municipality,Mustang,Gandaki
3,Lo-Ghekar Damodarkunda Rural Municipality,Mustang,Gandaki
4,Lo-Ghekar Damodarkunda Rural Municipality,Mustang,Gandaki
5,Lo-Ghekar Damodarkunda Rural Municipality,Mustang,Gandaki
1,Beni Municipality,Myagdi,Gandaki
2,Beni Municipality,Myagdi,Gandaki
3,Beni Municipality,Myagdi,Gandaki
4,Beni Municipality,Myagdi,Gandaki
5,Beni Municipality,Myagdi,Gandaki
6,Beni Municipality,Myagdi,Gandaki
7,Beni Municipality,Myagdi,Gandaki
8,Beni Municipality,Myagdi,Gandaki
9,Beni Municipality,Myagdi,Gandaki
10,Beni Municipality,Myagdi,Gandaki
1,Annapurna Rural Municipality,Myagdi,Gandaki
2,Annapurna Rural Municipality,Myagdi,Gandaki
3,Annapurna Rural Municipality,Myagdi,Gandaki
4,Annapurna Rural Municipality,Myagdi,Gandaki
5,Annapurna Rural Municipality,Myagdi,Gandaki
6,Annapurna Rural Municipality,Myagdi,Gandaki
7,Annapurna Rural Municipality,Myagdi,Gandaki
8,Annapurna Rural Municipality,Myagdi,Gandaki
1,Dhaulagiri Rural Municipality,Myagdi,Gandaki
2,Dhaulagiri Rural Municipality,Myagdi,Gandaki
3,Dhaulagiri Rural Municipality,Myagdi,Gandaki
4,Dhaulagiri Rural Municipality,Myagdi,Gandaki
5,Dhaulagiri Rural Municipality,Myagdi,Gandaki
6,Dhaulagiri Rural Municipality,Myagdi,Gandaki
7,Dhaulagiri Rural Municipality,Myagdi,Gandaki
1,Mangala Rural Municipality,Myagdi,Gandaki
2,Mangala Rural Municipality,Myagdi,Gandaki
3,Mangala Rural Municipality,Myagdi,Gandaki
4,Mangala Rural Municipality,Myagdi,Gandaki
5,Mangala Rural Municipality,Myagdi,Gandaki
1,Malika Rural Municipality,Myagdi,Gandaki
2,Malika Rural Municipality,Myagdi,Gandaki
3,Malika Rural Municipality,Myagdi,Gandaki
4,Malika Rural Municipality,Myagdi,Gandaki
5,Malika Rural Municipality,Myagdi,Gandaki
6,Malika Rural Municipality,Myagdi,Gandaki
7,Malika Rural Municipality,Myagdi,Gandaki
1,Raghuganga Rural Municipality,Myagdi,Gandaki
2,Raghuganga Rural Municipality,Myagdi,Gandaki
3,Raghuganga Rural Municipality,Myagdi,Gandaki
4,Raghuganga Rural Municipality,Myagdi,Gandaki
5,Raghuganga Rural Municipality,Myagdi,Gandaki
6,Raghuganga Rural Municipality,Myagdi,Gandaki
